station_name,Latitude,Longitude
Dearborn Pkwy & Delaware Pl,41.898969,-87.629912
Ritchie Ct & Banks St,41.906866,-87.62621700000001
Sheffield Ave & Webster Ave,41.92154,-87.653818
Greenwood Ave & 47th St,41.809835,-87.59938299999999
Ashland Ave & Grand Ave,41.891071999999994,-87.666611
Michigan Ave & Ida B Wells Dr,41.876243,-87.624426
Artesian Ave & Hubbard St,41.88949182,-87.688219365
Warren Park East,42.004549622,-87.680666145
Washtenaw Ave & Lawrence Ave,41.968987,-87.696027
Clinton St & Tilden St,41.875885,-87.640795
California Ave & Byron St,41.952162193,-87.69805111299999
Exchange Ave & 79th St,41.751731,-87.552812
Drake Ave & Montrose Ave,41.961154076,-87.71656907299999
